Time,Ohms
8.344650268554688e-06,b'+9.78706920E+02\n'
0.5150079727172852,b'+9.78716320E+02\n'
0.980280876159668,b'+9.78738490E+02\n'
1.444066047668457,b'+9.78762530E+02\n'
1.9082577228546143,b'+9.78788090E+02\n'
2.3720364570617676,b'+9.78814390E+02\n'
2.8360095024108887,b'+9.78840690E+02\n'
3.2999534606933594,b'+9.78866990E+02\n'
3.764134168624878,b'+9.78891170E+02\n'
4.227546691894531,b'+9.78914090E+02\n'
4.691632509231567,b'+9.78938260E+02\n'
5.155597448348999,b'+9.78963310E+02\n'
5.6195149421691895,b'+9.78988110E+02\n'
6.08353590965271,b'+9.79013660E+02\n'
6.54729437828064,b'+9.79038960E+02\n'
7.0112388134002686,b'+9.79064010E+02\n'
7.474947929382324,b'+9.79089690E+02\n'
7.938932657241821,b'+9.79115240E+02\n'
8.403070211410522,b'+9.79140040E+02\n'
8.866948127746582,b'+9.79166210E+02\n'
9.330884456634521,b'+9.79192890E+02\n'
9.794767141342163,b'+9.79218190E+02\n'
10.258142471313477,b'+9.79243870E+02\n'
10.722112894058228,b'+9.79269290E+02\n'
11.186034917831421,b'+9.79294970E+02\n'
11.650001764297485,b'+9.79319770E+02\n'
12.113699674606323,b'+9.79345820E+02\n'
12.577870607376099,b'+9.79371750E+02\n'
13.042372226715088,b'+9.79397800E+02\n'
13.505901336669922,b'+9.79422970E+02\n'
13.969799995422363,b'+9.79449650E+02\n'
14.433918237686157,b'+9.79476200E+02\n'
14.897875308990479,b'+9.79503510E+02\n'
15.361809968948364,b'+9.79530690E+02\n'
15.82576036453247,b'+9.79558370E+02\n'
16.2897732257843,b'+9.79586170E+02\n'
16.75397539138794,b'+9.79614350E+02\n'
17.217518091201782,b'+9.79641280E+02\n'
17.681487798690796,b'+9.79668960E+02\n'
18.145552158355713,b'+9.79696520E+02\n'
18.60904097557068,b'+9.79722950E+02\n'
19.07357430458069,b'+9.79749370E+02\n'
19.53690266609192,b'+9.79774920E+02\n'
20.00102138519287,b'+9.79800850E+02\n'
20.46525740623474,b'+9.79826780E+02\n'
20.928865909576416,b'+9.79852830E+02\n'
21.39274501800537,b'+9.79877750E+02\n'
21.856709718704224,b'+9.79902550E+02\n'
22.32065510749817,b'+9.79927100E+02\n'
22.784864902496338,b'+9.79951270E+02\n'
23.247982263565063,b'+9.79974950E+02\n'
23.711814403533936,b'+9.79999250E+02\n'
24.175538301467896,b'+9.80024800E+02\n'
24.639538049697876,b'+9.80049970E+02\n'
25.103498935699463,b'+9.80074520E+02\n'
25.568045377731323,b'+9.80099570E+02\n'
26.031962871551514,b'+9.80124870E+02\n'
26.49571466445923,b'+9.80150420E+02\n'
26.959834098815918,b'+9.80175720E+02\n'
27.423733234405518,b'+9.80200650E+02\n'
27.887635231018066,b'+9.80226200E+02\n'
28.351556301116943,b'+9.80251000E+02\n'
28.81536889076233,b'+9.80275420E+02\n'
29.27938747406006,b'+9.80299340E+02\n'
29.743370056152344,b'+9.80324270E+02\n'
30.207098960876465,b'+9.80349940E+02\n'
30.67113471031189,b'+9.80376250E+02\n'
31.134968757629395,b'+9.80402670E+02\n'
31.59899663925171,b'+9.80430480E+02\n'
32.062954902648926,b'+9.80459290E+02\n'
32.52669978141785,b'+9.80487220E+02\n'
32.990763425827026,b'+9.80514270E+02\n'
33.4546377658844,b'+9.80540700E+02\n'
33.91833853721619,b'+9.80566370E+02\n'
34.38226294517517,b'+9.80592680E+02\n'
34.846275329589844,b'+9.80618730E+02\n'
35.310330629348755,b'+9.80644030E+02\n'
35.77413535118103,b'+9.80669200E+02\n'
36.23788785934448,b'+9.80694380E+02\n'
36.701518535614014,b'+9.80721060E+02\n'
37.165688037872314,b'+9.80747990E+02\n'
37.629573345184326,b'+9.80772910E+02\n'
38.09367561340332,b'+9.80797710E+02\n'
38.55823802947998,b'+9.80822130E+02\n'
39.022140979766846,b'+9.80847310E+02\n'
39.4860053062439,b'+9.80873480E+02\n'
39.94971036911011,b'+9.80899160E+02\n'
40.41368818283081,b'+9.80925590E+02\n'
40.87771558761597,b'+9.80952140E+02\n'
41.34178042411804,b'+9.80979070E+02\n'
41.80567121505737,b'+9.81004370E+02\n'
42.26964282989502,b'+9.81030670E+02\n'
42.733267307281494,b'+9.81054720E+02\n'
43.19701051712036,b'+9.81079650E+02\n'
43.66136384010315,b'+9.81104440E+02\n'
44.12526726722717,b'+9.81130120E+02\n'
44.58909058570862,b'+9.81156300E+02\n'
45.05325365066528,b'+9.81181850E+02\n'
45.5169563293457,b'+9.81206900E+02\n'
45.98064422607422,b'+9.81233200E+02\n'
46.44457125663757,b'+9.81258880E+02\n'
46.90866160392761,b'+9.81285430E+02\n'
47.37280249595642,b'+9.81311230E+02\n'
47.83658170700073,b'+9.81337280E+02\n'
48.299800634384155,b'+9.81363080E+02\n'
48.76340651512146,b'+9.81389140E+02\n'
49.22751069068909,b'+9.81415440E+02\n'
49.691570520401,b'+9.81441490E+02\n'
50.15552616119385,b'+9.81465910E+02\n'
50.619181632995605,b'+9.81489840E+02\n'
51.08301782608032,b'+9.81512510E+02\n'
51.547377586364746,b'+9.81536550E+02\n'
52.01158308982849,b'+9.81560850E+02\n'
52.475817918777466,b'+9.81586150E+02\n'
52.93964099884033,b'+9.81610580E+02\n'
53.403717279434204,b'+9.81634750E+02\n'
53.86749625205994,b'+9.81657290E+02\n'
54.33147096633911,b'+9.81682220E+02\n'
54.79527711868286,b'+9.81706640E+02\n'
55.2591814994812,b'+9.81730690E+02\n'
55.72325682640076,b'+9.81755360E+02\n'
56.1871542930603,b'+9.81780790E+02\n'
56.65110373497009,b'+9.81806340E+02\n'
57.11500430107117,b'+9.81832270E+02\n'
57.57881307601929,b'+9.81855940E+02\n'
58.04250931739807,b'+9.81879610E+02\n'
58.506747245788574,b'+9.81904410E+02\n'
58.97061061859131,b'+9.81929210E+02\n'
59.434587240219116,b'+9.81955260E+02\n'
59.898417711257935,b'+9.81981190E+02\n'
60.362396001815796,b'+9.82007620E+02\n'
60.826319217681885,b'+9.82032540E+02\n'
61.28971242904663,b'+9.82057720E+02\n'
61.75311827659607,b'+9.82083640E+02\n'
62.21699833869934,b'+9.82108820E+02\n'
62.68084716796875,b'+9.82134120E+02\n'
63.14473366737366,b'+9.82158790E+02\n'
63.60883164405823,b'+9.82185090E+02\n'
64.07382130622864,b'+9.82211770E+02\n'
64.53767943382263,b'+9.82237570E+02\n'
65.00147032737732,b'+9.82263000E+02\n'
65.46549916267395,b'+9.82287920E+02\n'
65.92934441566467,b'+9.82312600E+02\n'
66.39307522773743,b'+9.82336150E+02\n'
66.85725474357605,b'+9.82359190E+02\n'
67.3211874961853,b'+9.82383870E+02\n'
67.78510284423828,b'+9.82407910E+02\n'
68.25173687934875,b'+9.82431960E+02\n'
68.72720432281494,b'+9.82456380E+02\n'
69.19293975830078,b'+9.82480930E+02\n'
69.65667057037354,b'+9.82506230E+02\n'
70.12069249153137,b'+9.82530410E+02\n'
70.58464765548706,b'+9.82554830E+02\n'
71.04839992523193,b'+9.82579380E+02\n'
71.51247882843018,b'+9.82604050E+02\n'
71.97631907463074,b'+9.82628480E+02\n'
72.43999719619751,b'+9.82653030E+02\n'
72.90430498123169,b'+9.82677320E+02\n'
73.36748695373535,b'+9.82700870E+02\n'
73.83204889297485,b'+9.82725550E+02\n'
74.29536390304565,b'+9.82750720E+02\n'
74.7591564655304,b'+9.82776650E+02\n'
75.22296643257141,b'+9.82802570E+02\n'
75.68689846992493,b'+9.82827750E+02\n'
76.15077877044678,b'+9.82852420E+02\n'
76.61483526229858,b'+9.82877600E+02\n'
77.07935690879822,b'+9.82901400E+02\n'
77.54358458518982,b'+9.82925070E+02\n'
78.00721192359924,b'+9.82948860E+02\n'
78.47047424316406,b'+9.82973290E+02\n'
78.93515205383301,b'+9.82997710E+02\n'
79.39894342422485,b'+9.83022890E+02\n'
79.86310982704163,b'+9.83047810E+02\n'
80.32683825492859,b'+9.83072990E+02\n'
80.79079508781433,b'+9.83098160E+02\n'
81.25459885597229,b'+9.83122080E+02\n'
81.71853041648865,b'+9.83146130E+02\n'
82.18262386322021,b'+9.83171930E+02\n'
82.64648962020874,b'+9.83196610E+02\n'
83.1104667186737,b'+9.83221030E+02\n'
83.57443523406982,b'+9.83245960E+02\n'
84.03812646865845,b'+9.83269000E+02\n'
84.50214862823486,b'+9.83293170E+02\n'
84.96604561805725,b'+9.83315970E+02\n'
85.42986536026001,b'+9.83340520E+02\n'
85.89412045478821,b'+9.83364940E+02\n'
86.35778307914734,b'+9.83390240E+02\n'
86.82172179222107,b'+9.83414670E+02\n'
87.28513884544373,b'+9.83439220E+02\n'
87.7486617565155,b'+9.83464640E+02\n'
88.21278238296509,b'+9.83489820E+02\n'
88.67657923698425,b'+9.83514360E+02\n'
89.14054489135742,b'+9.83538410E+02\n'
89.60496664047241,b'+9.83562710E+02\n'
90.06906223297119,b'+9.83588260E+02\n'
90.5328586101532,b'+9.83613310E+02\n'
90.99699974060059,b'+9.83637740E+02\n'
91.46083736419678,b'+9.83663160E+02\n'
91.92487478256226,b'+9.83687210E+02\n'
92.38875651359558,b'+9.83710630E+02\n'
92.85271787643433,b'+9.83733300E+02\n'
93.31661891937256,b'+9.83757850E+02\n'
93.78046154975891,b'+9.83782150E+02\n'
94.24450302124023,b'+9.83804690E+02\n'
94.70840740203857,b'+9.83826360E+02\n'
95.17250871658325,b'+9.83848650E+02\n'
95.63617038726807,b'+9.83870700E+02\n'
96.10003662109375,b'+9.83893870E+02\n'
96.56407451629639,b'+9.83917290E+02\n'
97.02803635597229,b'+9.83941840E+02\n'
97.49196410179138,b'+9.83968390E+02\n'
97.95572400093079,b'+9.83993690E+02\n'
98.41972851753235,b'+9.84018990E+02\n'
98.88354229927063,b'+9.84043920E+02\n'
99.34752702713013,b'+9.84068340E+02\n'
99.81063580513,b'+9.84091510E+02\n'
100.27417087554932,b'+9.84115690E+02\n'
100.73821091651917,b'+9.84139110E+02\n'
101.20212960243225,b'+9.84162530E+02\n'
101.66615533828735,b'+9.84185830E+02\n'
102.1299479007721,b'+9.84208750E+02\n'
102.59421133995056,b'+9.84231920E+02\n'
103.05885243415833,b'+9.84255090E+02\n'
103.52204990386963,b'+9.84277630E+02\n'
103.98666548728943,b'+9.84300550E+02\n'
104.45057606697083,b'+9.84323980E+02\n'
104.91431427001953,b'+9.84346900E+02\n'
105.37815999984741,b'+9.84370070E+02\n'
105.84229230880737,b'+9.84393490E+02\n'
106.3062915802002,b'+9.84417660E+02\n'
106.77015113830566,b'+9.84440080E+02\n'
107.23423051834106,b'+9.84463250E+02\n'
107.69786310195923,b'+9.84487430E+02\n'
108.16191744804382,b'+9.84511350E+02\n'
108.62590503692627,b'+9.84536020E+02\n'
109.08981370925903,b'+9.84559320E+02\n'
109.55369567871094,b'+9.84582870E+02\n'
110.01763987541199,b'+9.84606160E+02\n'
110.48143720626831,b'+9.84629460E+02\n'
110.94544911384583,b'+9.84652500E+02\n'
111.40944981575012,b'+9.84677180E+02\n'
111.87322163581848,b'+9.84702100E+02\n'
112.34828424453735,b'+9.84728780E+02\n'
112.81608963012695,b'+9.84751830E+02\n'
113.27987241744995,b'+9.84775370E+02\n'
113.74391579627991,b'+9.84798670E+02\n'
114.20792317390442,b'+9.84820460E+02\n'
114.67218446731567,b'+9.84844260E+02\n'
115.13677215576172,b'+9.84867180E+02\n'
115.60052824020386,b'+9.84888220E+02\n'
116.06461811065674,b'+9.84910270E+02\n'
116.52848839759827,b'+9.84932560E+02\n'
116.99241375923157,b'+9.84956730E+02\n'
117.45636749267578,b'+9.84980660E+02\n'
117.92021703720093,b'+9.85004450E+02\n'
118.38421201705933,b'+9.85028000E+02\n'
118.84807991981506,b'+9.85050670E+02\n'
119.311696767807,b'+9.85073220E+02\n'
119.77591228485107,b'+9.85095640E+02\n'
120.2397084236145,b'+9.85118930E+02\n'
120.70387959480286,b'+9.85141980E+02\n'
121.1677496433258,b'+9.85165150E+02\n'
121.63167428970337,b'+9.85188450E+02\n'
122.09550595283508,b'+9.85211870E+02\n'
122.55940556526184,b'+9.85235540E+02\n'
123.02338147163391,b'+9.85259340E+02\n'
123.4905047416687,b'+9.85283640E+02\n'
123.96521377563477,b'+9.85307930E+02\n'
124.43106341362,b'+9.85331480E+02\n'
124.8949658870697,b'+9.85356150E+02\n'
125.35821866989136,b'+9.85379330E+02\n'
125.82177376747131,b'+9.85403250E+02\n'
126.28552770614624,b'+9.85426540E+02\n'
126.74949622154236,b'+9.85450340E+02\n'
127.21364879608154,b'+9.85473760E+02\n'
127.6774308681488,b'+9.85496560E+02\n'
128.14247250556946,b'+9.85520360E+02\n'
128.60584950447083,b'+9.85543780E+02\n'
129.0702896118164,b'+9.85568330E+02\n'
129.53425240516663,b'+9.85592750E+02\n'
129.9980161190033,b'+9.85616170E+02\n'
130.46240830421448,b'+9.85638340E+02\n'
130.92584800720215,b'+9.85661010E+02\n'
131.38955640792847,b'+9.85682330E+02\n'
131.85357451438904,b'+9.85705630E+02\n'
132.3176691532135,b'+9.85728800E+02\n'
132.78163290023804,b'+9.85751220E+02\n'
133.2454776763916,b'+9.85773510E+02\n'
133.70870065689087,b'+9.85794680E+02\n'
134.17327904701233,b'+9.85817100E+02\n'
