Phase_Deg,Lockin_Output,Resistance_Ohm
209,0.0720E-3,616.1731
210,0.0710E-3,616.1726
211,0.0630E-3,616.17172
212,0.0570E-3,616.17185
213,0.0560E-3,616.17122
214,0.0530E-3,616.17072
215,0.0410E-3,616.17047
216,0.0350E-3,616.17034
217,0.0320E-3,616.16947
218,0.0310E-3,616.16922
219,0.0250E-3,616.16884
220,0.0180E-3,616.16834
221,0.0160E-3,616.16821
222,0.0130E-3,616.16746
223,0.0030E-3,616.16721
224,0.0010E-3,616.16684
225,0.0000E-3,616.16558
226,-0.0070E-3,616.16596
227,-0.0080E-3,616.16571
228,-0.0130E-3,616.16546
229,-0.0130E-3,616.16471
230,-0.0220E-3,616.16433
231,-0.0280E-3,616.16371
232,-0.0350E-3,616.16333
233,-0.0380E-3,616.16345
234,-0.0470E-3,616.1622
235,-0.0520E-3,616.16233
236,-0.0560E-3,616.16195
237,-0.0570E-3,616.16133
238,-0.0560E-3,616.16108
239,-0.0700E-3,616.15995
240,-0.0750E-3,616.15982
241,-0.0810E-3,616.16007
242,-0.0780E-3,616.15932
243,-0.0850E-3,616.15882
244,-0.0880E-3,616.15895
245,-0.0910E-3,616.15807
246,-0.0970E-3,616.15794
247,-0.1070E-3,616.15694
248,-0.1020E-3,616.15694
249,-0.1070E-3,616.15669
250,-0.1160E-3,616.15581
251,-0.1200E-3,616.15544
252,-0.1220E-3,616.15556
253,-0.1210E-3,616.15544
254,-0.1350E-3,616.15431
255,-0.1330E-3,616.15394
256,-0.1410E-3,616.15406
257,-0.1400E-3,616.15318
258,-0.1460E-3,616.15331
259,-0.1520E-3,616.15306
260,-0.1580E-3,616.15193
261,-0.1600E-3,616.15218
262,-0.1680E-3,616.15118
263,-0.1600E-3,616.15093
264,-0.1700E-3,616.15043
265,-0.1660E-3,616.1508
266,-0.1750E-3,616.1503
267,-0.1830E-3,616.14955
268,-0.1820E-3,616.14918
269,-0.1850E-3,616.14855
270,-0.1880E-3,616.1483
271,-0.1950E-3,616.14767
272,-0.1930E-3,616.14767
273,-0.1960E-3,616.1473
274,-0.2070E-3,616.14642
275,-0.2100E-3,616.14642
276,-0.2060E-3,616.14579
277,-0.2070E-3,616.14554
278,-0.2100E-3,616.14517
279,-0.2100E-3,616.14454
280,-0.2130E-3,616.14429
281,-0.2160E-3,616.14379
282,-0.2210E-3,616.14304
283,-0.2260E-3,616.14304
284,-0.2320E-3,616.14266
285,-0.2320E-3,616.14266
286,-0.2310E-3,616.14179
287,-0.2310E-3,616.14078
288,-0.2330E-3,616.14141
289,-0.2410E-3,616.14116
290,-0.2410E-3,616.14028
291,-0.2460E-3,616.14016
292,-0.2410E-3,616.13953
293,-0.2460E-3,616.13978
294,-0.2430E-3,616.13903
295,-0.2530E-3,616.13841
296,-0.2520E-3,616.1379
297,-0.2600E-3,616.1379
298,-0.2570E-3,616.13728
299,-0.2600E-3,616.13653
300,-0.2580E-3,616.13653
301,-0.2630E-3,616.13603
302,-0.2620E-3,616.13565
303,-0.2570E-3,616.13527
304,-0.2630E-3,616.13515
305,-0.2620E-3,616.13452
306,-0.2580E-3,616.1344
307,-0.2620E-3,616.13402
308,-0.2620E-3,616.13365
309,-0.2580E-3,616.13327
310,-0.2700E-3,616.13327
311,-0.2620E-3,616.13214
312,-0.2650E-3,616.13202
313,-0.2660E-3,616.13152
314,-0.2620E-3,616.13102
315,-0.2660E-3,616.13127
316,-0.2660E-3,616.13089
317,-0.2650E-3,616.13039
318,-0.2630E-3,616.12926
319,-0.2630E-3,616.12951
320,-0.2660E-3,616.12939
321,-0.2600E-3,616.12901
322,-0.2660E-3,616.12839
323,-0.2580E-3,616.12801
324,-0.2600E-3,616.12788
325,-0.2650E-3,616.12738
326,-0.2560E-3,616.12688
327,-0.2580E-3,616.12701
328,-0.2570E-3,616.12638
329,-0.2570E-3,616.12563
330,-0.2510E-3,616.12538
331,-0.2510E-3,616.1255
332,-0.2460E-3,616.125
333,-0.2510E-3,616.12463
334,-0.2460E-3,616.12413
335,-0.2560E-3,616.12388
336,-0.2450E-3,616.12363
337,-0.2510E-3,616.12325
338,-0.2450E-3,616.12312
339,-0.2450E-3,616.12237
340,-0.2410E-3,616.122
341,-0.2400E-3,616.1215
342,-0.2380E-3,616.12137
343,-0.2370E-3,616.121
344,-0.2280E-3,616.12062
345,-0.2280E-3,616.11974
346,-0.2280E-3,616.11937
347,-0.2220E-3,616.11962
348,-0.2200E-3,616.11912
349,-0.2130E-3,616.11837
350,-0.2200E-3,616.11811
351,-0.2160E-3,616.11811
352,-0.2160E-3,616.11736
353,-0.2030E-3,616.11724
354,-0.2000E-3,616.11699
355,-0.1960E-3,616.11661
356,-0.1910E-3,616.11624
357,-0.1900E-3,616.11611
358,-0.1880E-3,616.11573
359,-0.1850E-3,616.11548
360,-0.1780E-3,616.11486
361,-0.1780E-3,616.11448
362,-0.1720E-3,616.11398
363,-0.1700E-3,616.11361
364,-0.1660E-3,616.11361
365,-0.1710E-3,616.1131
366,-0.1600E-3,616.11361
367,-0.1660E-3,616.11273
368,-0.1580E-3,616.11198
369,-0.1530E-3,616.11198
370,-0.1470E-3,616.11173
371,-0.1460E-3,616.11135
372,-0.1460E-3,616.11072
373,-0.1370E-3,616.11072
374,-0.1350E-3,616.1106
375,-0.1350E-3,616.10972
376,-0.1280E-3,616.1091
377,-0.1250E-3,616.10897
378,-0.1220E-3,616.10885
379,-0.1180E-3,616.10835
380,-0.1100E-3,616.10797
381,-0.1030E-3,616.10734
382,-0.1010E-3,616.10747
383,-0.0910E-3,616.10684
384,-0.0930E-3,616.10647
385,-0.0900E-3,616.10697
386,-0.0880E-3,616.10634
387,-0.0780E-3,616.10521
388,-0.0830E-3,616.10509
389,-0.0750E-3,616.10496
390,-0.0710E-3,616.10434
391,-0.0600E-3,616.10421
392,-0.0560E-3,616.10371
393,-0.0520E-3,616.10384
394,-0.0470E-3,616.10296
395,-0.0410E-3,616.10283
396,-0.0350E-3,616.10246
397,-0.0320E-3,616.10246
398,-0.0320E-3,616.10196
399,-0.0310E-3,616.10196
