Phase_Deg,Lockin_Output,Resistance_Ohm
194,-0.0963E-3,1036.7057
195,-0.0978E-3,1036.7157
196,-0.0943E-3,1036.726
197,-0.0988E-3,1036.7359
198,-0.0998E-3,1036.7455
199,-0.0955E-3,1036.7557
200,-0.0953E-3,1036.7652
201,-0.0955E-3,1036.775
202,-0.1018E-3,1036.7845
203,-0.0930E-3,1036.7941
204,-0.1030E-3,1036.8034
205,-0.0973E-3,1036.8132
206,-0.0923E-3,1036.8223
207,-0.0988E-3,1036.8314
208,-0.0990E-3,1036.84
209,-0.1018E-3,1036.8491
210,-0.0993E-3,1036.8576
211,-0.0988E-3,1036.8666
212,-0.0968E-3,1036.875
213,-0.0975E-3,1036.8838
214,-0.0978E-3,1036.8923
215,-0.0963E-3,1036.9002
216,-0.0980E-3,1036.909
217,-0.0963E-3,1036.9175
218,-0.0918E-3,1036.9253
219,-0.0875E-3,1036.9333
220,-0.0898E-3,1036.9414
221,-0.0880E-3,1036.9497
222,-0.0888E-3,1036.9572
223,-0.0868E-3,1036.9647
224,-0.0850E-3,1036.9727
225,-0.0840E-3,1036.9805
226,-0.0828E-3,1036.9881
227,-0.0840E-3,1036.9959
228,-0.0818E-3,1037.0029
229,-0.0810E-3,1037.0107
230,-0.0800E-3,1037.0176
231,-0.0788E-3,1037.0246
232,-0.0790E-3,1037.0318
233,-0.0795E-3,1037.0389
234,-0.0813E-3,1037.0461
235,-0.0765E-3,1037.0524
236,-0.0788E-3,1037.0599
237,-0.0778E-3,1037.0669
238,-0.0780E-3,1037.0731
239,-0.0813E-3,1037.0799
240,-0.0755E-3,1037.0866
241,-0.0765E-3,1037.0921
242,-0.0708E-3,1037.0991
243,-0.0688E-3,1037.1056
244,-0.0658E-3,1037.1116
245,-0.0690E-3,1037.117
246,-0.0708E-3,1037.1233
247,-0.0708E-3,1037.1297
248,-0.0690E-3,1037.135
249,-0.0633E-3,1037.1407
250,-0.0613E-3,1037.1472
251,-0.0580E-3,1037.1521
252,-0.0590E-3,1037.1581
253,-0.0583E-3,1037.1631
254,-0.0600E-3,1037.1687
255,-0.0603E-3,1037.1748
256,-0.0570E-3,1037.1791
257,-0.0578E-3,1037.1846
258,-0.0563E-3,1037.1902
259,-0.0493E-3,1037.195
260,-0.0488E-3,1037.2001
261,-0.0440E-3,1037.2053
262,-0.0393E-3,1037.2103
263,-0.0443E-3,1037.2148
264,-0.0403E-3,1037.2201
265,-0.0418E-3,1037.225
266,-0.0420E-3,1037.2295
267,-0.0333E-3,1037.2347
268,-0.0400E-3,1037.2391
269,-0.0315E-3,1037.2435
270,-0.0353E-3,1037.2486
271,-0.0333E-3,1037.2529
272,-0.0290E-3,1037.2569
273,-0.0250E-3,1037.2621
274,-0.0218E-3,1037.2662
275,-0.0288E-3,1037.2704
276,-0.0165E-3,1037.2745
277,-0.0258E-3,1037.2786
278,-0.0170E-3,1037.2828
279,-0.0225E-3,1037.2871
280,-0.0165E-3,1037.2907
281,-0.0165E-3,1037.2944
282,-0.0163E-3,1037.2987
283,-0.0093E-3,1037.302
284,-0.0145E-3,1037.3059
285,-0.0043E-3,1037.3091
286,-0.0045E-3,1037.313
287,-0.0053E-3,1037.3169
288,-0.0015E-3,1037.3199
289,-0.0005E-3,1037.3235
290,-0.0028E-3,1037.3264
291,-0.0005E-3,1037.3299
292,0.0065E-3,1037.3332
293,0.0088E-3,1037.3363
294,0.0045E-3,1037.3393
295,0.0053E-3,1037.3422
296,0.0078E-3,1037.3455
