lockin,Temp
-0.380E-6,80.55938371008881
-0.350E-6,80.53066517269497
-0.370E-6,80.50194663530101
-0.380E-6,80.47384459602654
-0.400E-6,80.44605080581164
-0.370E-6,80.41779464200738
-0.380E-6,80.39164484677747
-0.370E-6,80.36477580374174
-0.350E-6,80.33836913429548
-0.280E-6,80.06921633034801
0.130E-6,79.83751578715237
0.310E-6,79.7506409271648
0.400E-6,79.73178635968065
0.460E-6,79.74231820255329
0.510E-6,79.763330513455
0.560E-6,79.78660331746119
0.530E-6,79.80884862460175
0.560E-6,79.8279086914589
0.580E-6,79.84296152054003
0.560E-6,79.85559973198701
0.580E-6,79.86479582893435
0.570E-6,79.8715259334042
0.580E-6,79.87599554476947
0.580E-6,79.87856428693362
0.580E-6,79.88015690707527
0.530E-6,79.8803624064484
0.570E-6,79.88046515613496
0.600E-6,79.87918078505288
0.570E-6,79.87799916365759
0.560E-6,79.87676616741874
0.530E-6,79.87527629696365
0.620E-6,79.87424880009803
0.580E-6,79.8732213032323
0.600E-6,79.87327267807564
0.560E-6,79.87250205542648
0.600E-6,79.87296442901606
0.600E-6,79.87373505166511
0.580E-6,79.87512217243375
0.600E-6,79.87727991585155
0.560E-6,79.87969453348569
0.580E-6,79.88313664798557
0.600E-6,79.88704113607491
0.560E-6,79.89207587071644
0.580E-6,79.89741885441754
0.560E-6,79.903172836865
0.570E-6,79.9101598155512
0.560E-6,79.91730091876718
0.520E-6,79.92577776790847
0.570E-6,79.93451149126622
0.570E-6,79.94339933915376
0.580E-6,79.9536229329666
0.560E-6,79.96420615068246
0.530E-6,79.97365912184603
1.680E-6,80.01655711598539
0.510E-6,80.21835750039179
0.510E-6,80.47903345519785
0.470E-6,80.79103287844134
0.500E-6,81.12707572834006
0.470E-6,81.46805056319374
0.460E-6,81.80501816027163
0.470E-6,82.13443365538717
0.470E-6,82.4546530535556
0.450E-6,82.765008481814
0.450E-6,83.0648834420432
0.430E-6,83.3549458072057
0.460E-6,83.6355038263614
0.410E-6,83.90737949700258
0.430E-6,84.17016182038321
0.410E-6,84.42503241789859
0.410E-6,84.67060416878007
0.410E-6,84.88627576087231
0.410E-6,85.07713330365993
0.450E-6,85.24744090913532
0.430E-6,85.40690842267838
0.410E-6,85.55902933363245
0.430E-6,85.70591001057187
0.400E-6,85.84821832645923
0.430E-6,85.98693040331705
0.450E-6,86.1220462411452
0.430E-6,86.25433646259285
0.430E-6,86.38354419344375
0.450E-6,86.51013180728728
0.460E-6,86.63420205380999
0.460E-6,86.7557549330121
0.450E-6,86.87540694301276
0.460E-6,86.9918737127299
0.470E-6,87.10669648746227
0.470E-6,87.22038901564235
0.470E-6,87.3306908041659
0.510E-6,87.43873209958508
0.500E-6,87.54476977611637
0.560E-6,87.64880383375976
0.520E-6,87.75088564735836
0.560E-6,87.85116934144219
0.570E-6,87.9493980417949
0.620E-6,88.04623962137885
0.600E-6,88.14071795817199
0.620E-6,88.23391192388306
0.680E-6,88.32592426819872
0.660E-6,88.417114615022
0.750E-6,88.50481147250207
0.780E-6,88.59096708468371
0.810E-6,88.6761979496863
0.910E-6,88.75952794548743
1.000E-6,88.84116257146047
1.100E-6,88.92166695088122
1.220E-6,89.00073283469021
1.430E-6,89.078308848044
1.710E-6,89.15465186515905
2.020E-6,89.22976188603536
2.520E-6,89.30312516224012
3.100E-6,89.3755123164226
3.530E-6,89.44774534607518
3.900E-6,89.51756375809362
3.830E-6,89.58656017261956
3.750E-6,89.6540667166903
3.660E-6,89.72059713873875
3.750E-6,89.78604868907826
3.880E-6,89.8503699928657
4.000E-6,89.91407479853365
4.180E-6,89.97639248343307
4.480E-6,90.03773404631022
4.770E-6,90.0983049865381
5.000E-6,90.15764293052723
5.420E-6,90.21636437639711
5.150E-6,90.27364732665501
5.170E-6,90.33072477753979
5.150E-6,90.38682610640228
5.080E-6,90.4417971887126
4.960E-6,90.49640864711989
4.920E-6,90.549684359602
4.920E-6,90.60244632365118
4.880E-6,90.65469453926767
4.860E-6,90.70617213223488
4.900E-6,90.75646810380658
4.880E-6,90.80625032694559
4.880E-6,90.85546742680845
4.880E-6,90.90401665370871
4.880E-6,90.95287412966854
4.900E-6,90.99962523705392
4.870E-6,91.047044217402
4.920E-6,91.09271645307854
4.900E-6,91.13838868875496
4.930E-6,91.18262242881963
4.900E-6,91.22695891857086
